Year,Income_Group,Obesity_CV,N_Countries
1980,High income,0.7298993660518451,38
1981,High income,0.7211648801386938,38
1982,High income,0.7125074754286341,38
1983,High income,0.7039034690771802,38
1984,High income,0.6953232127789855,38
1985,High income,0.6867184860694455,38
1986,High income,0.6780377104024532,38
1987,High income,0.6692768074702055,38
1988,High income,0.6569395065857834,39
1989,High income,0.6252832522908904,42
1990,High income,0.6161876427454056,36
1991,High income,0.6064798308288307,36
1992,High income,0.5970351152535341,36
1993,High income,0.5878375849018502,36
1994,High income,0.5784707339696693,37
1995,High income,0.592402001539944,38
1996,High income,0.5758360713353913,39
1997,High income,0.5634592205586398,40
1998,High income,0.52528613661127,40
1999,High income,0.5266644098339535,39
2000,High income,0.5081739551390185,41
2001,High income,0.5263456941504714,41
2002,High income,0.5018664266769828,45
2003,High income,0.49921303666727207,43
2004,High income,0.48738463330798987,44
2005,High income,0.4819258241195135,45
2006,High income,0.46551216757971026,49
2007,High income,0.4607473542255745,53
2008,High income,0.4515861441119858,54
2009,High income,0.4394072251347875,55
2010,High income,0.4386306940011179,54
2011,High income,0.4311933261270648,55
2012,High income,0.4107018693227958,60
2013,High income,0.4062976511566611,60
2014,High income,0.39447293413427664,64
1980,Low income,0.9100152215532932,51
1981,Low income,0.8962935238975444,51
1982,Low income,0.8826728522548966,51
1983,Low income,0.8692072489191592,51
1984,Low income,0.8559122149373255,51
1985,Low income,0.8428689579345392,51
1986,Low income,0.8301223795842859,51
1987,Low income,0.8177979364328821,51
1988,Low income,0.7180032766401205,50
1989,Low income,0.7945127744013966,51
1990,Low income,1.0470905343851291,53
1991,Low income,1.0041181483005464,56
1992,Low income,0.9729253553388744,56
1993,Low income,0.9181321321669169,60
1994,Low income,0.8642051050264036,65
1995,Low income,0.798531600319936,64
1996,Low income,0.7785223793042632,64
1997,Low income,0.7572877632288444,62
1998,Low income,0.751235705341368,64
1999,Low income,0.7649885911860106,65
2000,Low income,0.7577664310247357,64
2001,Low income,0.73917944266326,66
2002,Low income,0.6941509689933498,64
2003,Low income,0.6732098943856397,61
2004,Low income,0.6691618697220437,59
2005,Low income,0.6412227660341839,54
2006,Low income,0.6330464021867876,53
2007,Low income,0.6063448702609446,49
2008,Low income,0.5621107993740183,43
2009,Low income,0.586480349967983,40
2010,Low income,0.5408543704995206,35
2011,Low income,0.5282477762597897,36
2012,Low income,0.5273736823580915,35
2013,Low income,0.505406407499403,34
2014,Low income,0.4924710318223951,30
1980,Lower middle income,0.6742097412007378,74
1981,Lower middle income,0.6669016203446652,74
1982,Lower middle income,0.659658781156404,74
1983,Lower middle income,0.652484896410442,74
1984,Lower middle income,0.6454121124496444,74
1985,Lower middle income,0.6384466008870376,74
1986,Lower middle income,0.6316193013099428,74
1987,Lower middle income,0.6248917697364845,74
1988,Lower middle income,0.616327278002594,76
1989,Lower middle income,0.6042753020771403,76
1990,Lower middle income,0.6004052154350197,75
1991,Lower middle income,0.5937276516541273,71
1992,Lower middle income,0.5562045477416738,71
1993,Lower middle income,0.5774742663411109,68
1994,Lower middle income,0.5335020936042931,65
1995,Lower middle income,0.5184127729694777,65
1996,Lower middle income,0.516387890789835,63
1997,Lower middle income,0.5765591738819419,59
1998,Lower middle income,0.5240814360099185,57
1999,Lower middle income,0.5443345594947697,55
2000,Lower middle income,0.5493042786982117,54
2001,Lower middle income,0.5333469075082486,52
2002,Lower middle income,0.5205412368727533,54
2003,Lower middle income,0.5297283577166886,56
2004,Lower middle income,0.5535909117254818,54
2005,Lower middle income,0.5602203068933292,58
2006,Lower middle income,0.5797171587380511,56
2007,Lower middle income,0.6433059964553987,55
2008,Lower middle income,0.6802054269025226,55
2009,Lower middle income,0.7167209169717432,55
2010,Lower middle income,0.7122151737838059,55
2011,Lower middle income,0.6783346060430177,52
2012,Lower middle income,0.65841896971885,47
2013,Lower middle income,0.6425312621947004,48
2014,Lower middle income,0.6769289075951648,50
1980,Upper middle income,0.5114898811576244,34
1981,Upper middle income,0.5018795899316811,34
1982,Upper middle income,0.4932149734354638,34
1983,Upper middle income,0.4853719521673698,34
1984,Upper middle income,0.4782754683668228,34
1985,Upper middle income,0.47184998593079747,34
1986,Upper middle income,0.4657307744990771,34
1987,Upper middle income,0.4598204250607501,34
1988,Upper middle income,0.4517579293979526,32
1989,Upper middle income,0.4793547417734836,28
1990,Upper middle income,0.5447763751664432,33
1991,Upper middle income,0.546182880468366,34
1992,Upper middle income,0.6029748037928545,34
1993,Upper middle income,0.5899801985781788,33
1994,Upper middle income,0.6001099918042034,30
1995,Upper middle income,0.5545498409648674,30
1996,Upper middle income,0.542348092710931,31
1997,Upper middle income,0.5056400026260744,36
1998,Upper middle income,0.5366899939189709,36
1999,Upper middle income,0.5126091326806681,38
2000,Upper middle income,0.5044514856716754,38
2001,Upper middle income,0.469118924296689,38
2002,Upper middle income,0.4764858098747803,34
2003,Upper middle income,0.46175440722389194,37
2004,Upper middle income,0.45750344643286445,40
2005,Upper middle income,0.4461815704965839,40
2006,Upper middle income,0.44074523531238297,39
2007,Upper middle income,0.40287660049428176,40
2008,Upper middle income,0.3928707204616792,45
2009,Upper middle income,0.3875995075755005,47
2010,Upper middle income,0.419338219033037,53
2011,Upper middle income,0.44847105914362934,54
2012,Upper middle income,0.46677900787439913,55
2013,Upper middle income,0.4587050398214577,55
2014,Upper middle income,0.4576844444306946,53
