Country,Country_Code,Obesity_End,Sugar_Sweeteners_kg_per_capita,Alcohol_kg_per_capita,Physical_Inactivity_pct
Japan,JPN,3.763919366141001,27.08,46.6,50.57
South Korea,KOR,4.272459392969443,38.41,76.22,60.65
Singapore,SGP,5.820186617751441,,,24.6
North Korea,PRK,6.085379916849339,3.93,7.83,28.13
Taiwan,TWN,6.922258812516342,,,
China (Hong Kong SAR),HKG,10.15171353707468,,,
Brunei Darussalam,BRN,12.594854596049077,49.29,8.76,31.03
Ecuador,ECU,18.69502198567698,23.11,39.63,22.53
Switzerland,CHE,18.699902501484228,60.41,97.75,21.92
Peru,PER,18.71630647741021,22.97,52.54,34.49
Bolivia,BOL,18.83197581107264,27.44,35.85,21.29
Denmark,DNK,18.852885612927487,55.45,94.13,14.48
Austria,AUT,19.1488319932718,45.33,143.89,22.9
Netherlands,NLD,19.363370239336803,44.54,76.88,11.43
Italy,ITA,19.39233628859271,32.12,59.21,45.17
Sweden,SWE,19.676438034961727,42.06,79.52,10.73
Brazil,BRA,20.76797687227387,42.78,72.43,40.91
France,FRA,20.85348753633853,39.22,71.16,27.1
Colombia,COL,21.024965744742723,58.38,44.39,34.53
Iceland,ISL,21.111837380064912,48.17,86.28,27.72
Cyprus,CYP,21.17866982094067,36.91,51.45,42.96
Germany,DEU,21.481008276200832,48.49,127.83,15.02
Finland,FIN,21.48163602420882,31.67,96.71,12.01
Belgium,BEL,21.54300602306618,52.39,105.96,28.83
Luxembourg,LUX,21.66256371004997,51.42,150.05,15.47
Greenland,GRL,21.828640974290455,,,
Norway,NOR,22.07072062292365,43.93,70.28,38.1
Spain,ESP,23.194278424629104,31.24,98.58,25.31
Cuba,CUB,23.5550278870049,53.28,33.28,63.79
Ireland,IRL,23.66907130233449,45.99,177.5,23.91
Greece,GRC,24.0276058185262,29.3,55.23,39.75
Venezuela,VEN,24.87319668309376,38.59,68.73,46.15
Andorra,AND,25.667821355675823,,,29.15
Israel,ISR,25.7156515284218,27.8,22.0,27.9
United Kingdom,GBR,26.33767911492008,41.28,93.14,21.9
Mexico,MEX,27.411740762796448,48.46,52.57,28.02
Australia,AUS,27.72959667172281,46.08,111.8,27.96
Canada,CAN,28.11455200937369,48.26,84.75,40.37
New Zealand,NZL,29.360159938709945,59.17,77.35,20.74
Puerto Rico,PRI,33.345830098373774,,,45.95
United States of America,USA,34.64456302792869,63.76,93.9,36.41
