Country,BP_Start,BP_End,BP_Slope,BP_Curvature,Obesity_Start,Obesity_End,Obesity_Slope,Obesity_Curvature,Diabetes_Start,Diabetes_End,Diabetes_Slope,Diabetes_Curvature,Cluster,Cluster_Name,Country_Code,Continent,UHC_End,Gini_Index,Gini_Year,Income_Group,WHO_Region,Income_Group_Ordinal,BP_Residual,BP_Predicted_By_Obesity
Afghanistan,25.59596999121115,30.387490339570697,0.1654779205895612,-0.0597545339987914,0.8159581143395178,4.626889287631776,0.1249081773866929,0.105991487211403,5.202770040193438,11.34172943587261,0.2021011977457276,0.0805761668873006,4,Lean Hypertension / Low-Obesity Rising-BP,AFG,Asia,37.4,,,Low income,Eastern Mediterranean,1.0,3.9124728590777273,26.47501748049297
Albania,32.1562662526642,29.66900860632639,-0.0728740052875234,-0.0593960323464198,8.216668485177994,20.11564771002132,0.3930095459820349,0.2428730691594651,4.979636469690623,7.217475074823352,0.0756929795274327,0.0348122995266742,0,Moderate Transition,ALB,Europe,59.8,29.4,2020.0,Upper middle income,Europe,3.0,4.955847521420484,24.713161084905906
Algeria,31.42233493770313,26.11303870979887,-0.1804890909437432,-0.2652598121858727,9.216506673876982,25.63414821729789,0.5471342600365452,0.1647716302463235,5.384804939441641,11.92037914652802,0.2205127174993457,0.0723469074975602,0,Moderate Transition,DZA,Africa,67.6,27.6,2011.0,Upper middle income,Africa,3.0,2.0276106650533094,24.085428044745562
American Samoa,33.11876917405968,22.47539387364699,-0.3547372116094096,-0.022618417847141,42.82582520820311,60.699228953003,0.6033151035713357,-0.3200404629651361,19.98177986844179,31.68659000478936,0.39525761586797,-0.444721521371352,1,Pacific Extreme Outliers,ASM,Oceania,,,,Upper middle income,,3.0,2.3786416847191596,20.09675218892783
Andorra,36.41540241346464,20.090149338069928,-0.5546061369595037,-0.0357704171157542,16.95659967195337,25.667821355675823,0.2841522520017548,-0.1366778858280752,6.860348981327204,6.973512079233595,0.0039097960745652,-0.0210245676520277,2,Wealthy Decouplers,AND,Europe,71.2,,,High income,Europe,4.0,-3.991448365172932,24.08159770324286
Angola,28.40724511938202,30.013675428805733,0.0539948497653706,-0.1999989237002204,1.28460798135102,6.95762405001137,0.1869092177238796,0.151466280211665,2.882839912138609,7.751185446867957,0.160955603591271,0.0782974334551229,4,Lean Hypertension / Low-Obesity Rising-BP,AGO,Africa,37.6,51.3,2018.0,Lower middle income,Africa,2.0,3.8037805511406084,26.209894877665125
Antigua and Barbuda,24.56870232440348,23.0494237144757,-0.0574638753687662,0.0699416257530897,7.381772017382689,17.626135890529298,0.340832526248719,0.0689847704045284,4.957399758400937,10.813780957561413,0.1924390406719548,0.1203755711167438,0,Moderate Transition,ATG,North America,80.8,,,High income,Americas,4.0,-1.9469209672975474,24.996344681773248
Argentina,37.81263037792212,23.645512156116407,-0.4791268311695597,0.0924645339382179,13.93310556621877,27.13318791390767,0.4397589242754254,0.0638777147809747,6.864397443090408,9.399438852059262,0.0829631869287257,0.0258904575240098,3,High-Starting-BP Recovery,ARG,South America,79.0,42.4,2024.0,Upper middle income,Americas,3.0,-0.2693991432137821,23.91491129933019
Armenia,33.55445913972419,25.679750096955683,-0.2681855166887777,0.1478092697885078,9.376020816131687,19.0077081644475,0.3136183084657377,0.0938659265537011,6.531259599543051,11.030100886831873,0.1473939444528093,0.1194047244788274,3,High-Starting-BP Recovery,ARM,Asia,67.6,27.4,2024.0,Lower middle income,Europe,2.0,0.8405601644778962,24.839189932477787
Australia,32.434412059878845,16.516621469499547,-0.5273994018170615,0.0403199301182053,12.99227509919496,27.72959667172281,0.4988026616974425,0.1555053395148929,4.982307840352409,5.896306374085887,0.0342995643623509,-0.0345781205324228,2,Wealthy Decouplers,AUS,Oceania,88.6,33.8,2020.0,High income,Western Pacific,4.0,-7.330447943755267,23.847069413254815
Austria,34.222753614772444,22.34417915762677,-0.402122565188171,-0.1875307354348788,8.826543889008384,19.1488319932718,0.3464408177614781,0.0873361671684165,3.9183341873194415,4.323128907413936,0.0164097388441688,-0.016857569573465,2,Wealthy Decouplers,AUT,Europe,81.6,31.2,2023.0,High income,Europe,4.0,-2.4789578470692533,24.823137004696022
Azerbaijan,30.265435082453717,24.68157789233943,-0.1867501221680515,0.1299415051634738,7.907510965488447,18.20685250036776,0.3346763721955586,0.1747075774382062,6.003221512678092,11.61387179847248,0.1782714291000013,0.1907852640756976,0,Moderate Transition,AZE,Asia,61.4,26.6,2005.0,Upper middle income,Europe,3.0,-0.24870989544878697,24.930287787788217
