Year,BP_CV,Is_Extrapolated,Metric,Obesity_CV,Diabetes_CV
1980,0.20067558482201533,False,BP,,
1981,0.19674706603223477,False,BP,,
1982,0.19285334022989045,False,BP,,
1983,0.1890364066810622,False,BP,,
1984,0.18526451007777772,False,BP,,
1985,0.18154722651533356,False,BP,,
1986,0.17782249289811325,False,BP,,
1987,0.1741122652125246,False,BP,,
1988,0.17048811153707497,False,BP,,
1989,0.16695999939399317,False,BP,,
1990,0.16352361933670714,False,BP,,
1991,0.16007436381600582,False,BP,,
1992,0.15677099617168438,False,BP,,
1993,0.15366526025637192,False,BP,,
1994,0.15083468905726327,False,BP,,
1995,0.1482648962158077,False,BP,,
1996,0.14596842324940076,False,BP,,
1997,0.14400712501766835,False,BP,,
1998,0.14244198648210285,False,BP,,
1999,0.14135932058518866,False,BP,,
2000,0.14077115899522147,False,BP,,
2001,0.14070271871808132,False,BP,,
2002,0.14115004536909972,False,BP,,
2003,0.14207248897938937,False,BP,,
2004,0.14350421040818262,False,BP,,
2005,0.1454361242979833,False,BP,,
2006,0.14787266208282135,False,BP,,
2007,0.15077224367279743,False,BP,,
2008,0.15407671490897681,False,BP,,
2009,0.15772768428892803,False,BP,,
2010,0.1616949077252287,False,BP,,
2011,0.16592375794863062,False,BP,,
2012,0.17049000076114737,False,BP,,
2013,0.17529565776114728,False,BP,,
2014,0.18032108577499562,False,BP,,
2015,0.14540244840253114,True,BP,,
2016,0.14449587149587662,True,BP,,
2017,0.14358929458922232,True,BP,,
2018,0.1426827176825678,True,BP,,
2019,0.1417761407759135,True,BP,,
2020,0.1408695638692592,True,BP,,
2021,0.13996298696260467,True,BP,,
2022,0.13905641005595037,True,BP,,
2023,0.13814983314929585,True,BP,,
2024,0.13724325624264155,True,BP,,
1980,,False,Obesity,0.9184346276987237,
1981,,False,Obesity,0.9072387232006719,
1982,,False,Obesity,0.8963460155749515,
1983,,False,Obesity,0.8857179596195992,
1984,,False,Obesity,0.875337431762656,
1985,,False,Obesity,0.8651770181971583,
1986,,False,Obesity,0.8551229526893551,
1987,,False,Obesity,0.8451421771733333,
1988,,False,Obesity,0.8351895945781,
1989,,False,Obesity,0.8252806912182807,
1990,,False,Obesity,0.8153888577605097,
1991,,False,Obesity,0.8056988743545646,
1992,,False,Obesity,0.7961897643620736,
1993,,False,Obesity,0.7868245255169463,
1994,,False,Obesity,0.7775849945834143,
1995,,False,Obesity,0.7684524592510478,
1996,,False,Obesity,0.7594637431339512,
1997,,False,Obesity,0.750583904925599,
1998,,False,Obesity,0.7417920659491232,
1999,,False,Obesity,0.7330698052697527,
2000,,False,Obesity,0.7243927457793508,
2001,,False,Obesity,0.7157150222459904,
2002,,False,Obesity,0.707030975258199,
2003,,False,Obesity,0.6983407465872212,
2004,,False,Obesity,0.6896480031239676,
2005,,False,Obesity,0.6809730892150059,
2006,,False,Obesity,0.6722846360038098,
2007,,False,Obesity,0.6636060344993944,
2008,,False,Obesity,0.6549393989195892,
2009,,False,Obesity,0.6462930100980983,
2010,,False,Obesity,0.6376557942911634,
2011,,False,Obesity,0.6289967740727187,
2012,,False,Obesity,0.6203189561446739,
2013,,False,Obesity,0.6116225793128346,
2014,,False,Obesity,0.6028997909003397,
2015,,True,Obesity,0.5894493230758542,
2016,,True,Obesity,0.5802937239716996,
2017,,True,Obesity,0.5711381248675451,
2018,,True,Obesity,0.5619825257633906,
2019,,True,Obesity,0.552826926659236,
2020,,True,Obesity,0.5436713275550815,
2021,,True,Obesity,0.534515728450927,
2022,,True,Obesity,0.5253601293467725,
2023,,True,Obesity,0.5162045302426179,
2024,,True,Obesity,0.5070489311384634,
1980,,False,Diabetes,,0.5045796384578664
1981,,False,Diabetes,,0.5067294669613154
1982,,False,Diabetes,,0.5087896667582829
1983,,False,Diabetes,,0.5105722556802093
1984,,False,Diabetes,,0.5121496085641954
1985,,False,Diabetes,,0.5135295457158796
1986,,False,Diabetes,,0.514713848000346
1987,,False,Diabetes,,0.5155067374843237
1988,,False,Diabetes,,0.515983562238029
1989,,False,Diabetes,,0.5164126567420882
1990,,False,Diabetes,,0.5169038938758143
1991,,False,Diabetes,,0.5172367969647163
1992,,False,Diabetes,,0.5176802724912314
1993,,False,Diabetes,,0.5181789894470857
1994,,False,Diabetes,,0.5186835607651822
1995,,False,Diabetes,,0.5188796154535226
1996,,False,Diabetes,,0.5186494407821044
1997,,False,Diabetes,,0.5180609663462
1998,,False,Diabetes,,0.5173557028792305
1999,,False,Diabetes,,0.5166363871934095
2000,,False,Diabetes,,0.5158930202870169
2001,,False,Diabetes,,0.5151210839947581
2002,,False,Diabetes,,0.5143277896645055
2003,,False,Diabetes,,0.5136709432911714
2004,,False,Diabetes,,0.5127487848708888
2005,,False,Diabetes,,0.5117750980247484
2006,,False,Diabetes,,0.5107285436129527
2007,,False,Diabetes,,0.5097940898773697
2008,,False,Diabetes,,0.5092746505323378
2009,,False,Diabetes,,0.5088425457106203
2010,,False,Diabetes,,0.5084017827325287
2011,,False,Diabetes,,0.5078758065485527
