Country,BP_Start,BP_End,BP_Slope,BP_Curvature,Obesity_Start,Obesity_End,Obesity_Slope,Obesity_Curvature,Diabetes_Start,Diabetes_End,Diabetes_Slope,Diabetes_Curvature,Cluster,Cluster_Name,Country_Code,Continent,Income_Group
Afghanistan,25.59596999121115,30.387490339570697,0.1654779205895612,-0.05975453399879144,0.8159581143395178,4.626889287631776,0.12490817738669295,0.10599148721140303,5.202770040193438,11.34172943587261,0.20210119774572768,0.08057616688730068,4,Lean Hypertension / Low-Obesity Rising-BP,AFG,Asia,Low income
Albania,32.156266252664196,29.66900860632639,-0.07287400528752341,-0.05939603234641988,8.216668485177994,20.11564771002132,0.3930095459820349,0.2428730691594651,4.979636469690623,7.217475074823352,0.07569297952743273,0.03481229952667424,0,Moderate Transition,ALB,Europe,Upper middle income
Algeria,31.422334937703134,26.11303870979887,-0.18048909094374324,-0.26525981218587275,9.216506673876982,25.634148217297895,0.5471342600365452,0.16477163024632352,5.384804939441641,11.92037914652802,0.22051271749934576,0.07234690749756023,0,Moderate Transition,DZA,Africa,Upper middle income
American Samoa,33.11876917405968,22.47539387364699,-0.3547372116094096,-0.022618417847141026,42.82582520820311,60.699228953003,0.6033151035713357,-0.3200404629651361,19.98177986844179,31.68659000478936,0.39525761586797004,-0.444721521371352,1,Pacific Extreme Outliers,ASM,Oceania,Upper middle income
Andorra,36.41540241346464,20.090149338069928,-0.5546061369595037,-0.03577041711575424,16.95659967195337,25.667821355675823,0.2841522520017548,-0.13667788582807527,6.860348981327204,6.973512079233595,0.003909796074565244,-0.02102456765202772,2,Wealthy Decouplers,AND,Europe,High income
Angola,28.40724511938202,30.013675428805733,0.053994849765370674,-0.1999989237002204,1.28460798135102,6.95762405001137,0.18690921772387967,0.15146628021166508,2.882839912138609,7.751185446867957,0.16095560359127106,0.07829743345512294,4,Lean Hypertension / Low-Obesity Rising-BP,AGO,Africa,Lower middle income
Antigua and Barbuda,24.568702324403482,23.0494237144757,-0.05746387536876625,0.06994162575308978,7.381772017382689,17.626135890529298,0.34083252624871907,0.06898477040452844,4.957399758400937,10.813780957561411,0.19243904067195486,0.12037557111674388,0,Moderate Transition,ATG,North America,High income
Argentina,37.81263037792212,23.645512156116407,-0.47912683116955973,0.09246453393821791,13.93310556621877,27.13318791390767,0.43975892427542546,0.0638777147809747,6.864397443090408,9.399438852059262,0.08296318692872576,0.0258904575240098,3,High-Starting-BP Recovery,ARG,South America,Upper middle income
Armenia,33.55445913972419,25.679750096955683,-0.26818551668877777,0.14780926978850786,9.376020816131687,19.0077081644475,0.3136183084657377,0.09386592655370113,6.531259599543051,11.030100886831871,0.14739394445280937,0.11940472447882748,3,High-Starting-BP Recovery,ARM,Asia,Lower middle income
Australia,32.434412059878845,16.516621469499547,-0.5273994018170615,0.04031993011820534,12.992275099194961,27.72959667172281,0.49880266169744253,0.15550533951489298,4.982307840352409,5.896306374085887,0.034299564362350925,-0.03457812053242286,2,Wealthy Decouplers,AUS,Oceania,High income
